EXPOSE,${R2_QUERY_PORT}/tcp,4
EXPOSE,${R2_SV_PORT}/udp,3
EXPOSE,${R2_QUERY_PORT}/udp,3
EXPOSE,27015/udp,6
EXPOSE,${R2_PORT}/udp,2
EXPOSE,27015/tcp 27015/udp,4
EXPOSE,27015/tcp 27015/udp 27020/udp,4
EXPOSE,8888 55555,1
EXPOSE,PORT,7
EXPOSE,80,349
EXPOSE,4000,12
EXPOSE,3000,126
EXPOSE,8080,366
EXPOSE,8000,648
EXPOSE,9000,84
EXPOSE,2003,1
EXPOSE,81,1
EXPOSE,8125/udp,2
EXPOSE,8126,1
EXPOSE,8000 9000 3306,1
EXPOSE,8000-8005 9000-9005 3306-3307,18
EXPOSE,8000 9000 3306 3307,2
EXPOSE,3838,1
EXPOSE,$PORT,3
EXPOSE,5000,33
EXPOSE,80 443,441
EXPOSE,9200 9300,37
EXPOSE,5601,11
EXPOSE,4222 8222,4
EXPOSE,4369 5671 5672 25672 15672,2
EXPOSE,1801 135 2103 2105 3527 2107,1
EXPOSE,4222 8222 6222,2
EXPOSE,443,137
EXPOSE,7000 7001 7199 9042 9160,2
EXPOSE,9090,9
EXPOSE,${YSQL_PORT} ${YCQL_PORT} ${WEB_PORT} ${TSERVER_WEB_PORT} ${YSQL_API_PORT} ${YCQL_API_PORT},1
EXPOSE,8069 8071 8072,3
EXPOSE,3306,34
EXPOSE,80 443 2015,7
EXPOSE,5050,5
EXPOSE,2080,2
EXPOSE,11300,2
EXPOSE,27017,9
EXPOSE,11211,3
EXPOSE,80 25,6
EXPOSE,1025 8025,10
EXPOSE,6379,21
EXPOSE,15671 15672,19
EXPOSE,5432,34
EXPOSE,443 9390,1
EXPOSE,25,12
EXPOSE,4000 9390 9391,2
EXPOSE,808,7
EXPOSE,4444,9
EXPOSE,8080 8443,6
EXPOSE,1433,11
EXPOSE,8091 \\,6
EXPOSE,4984,76
