| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           7 | d55f6c46950da8512a42aceb9e63e32da4091698 |           8 | 876a7153adbc36a854339913186590042889537c | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           7 | d55f6c46950da8512a42aceb9e63e32da4091698 |           8 | 876a7153adbc36a854339913186590042889537c | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           8 | 876a7153adbc36a854339913186590042889537c |           9 | 6074ee40a7d2e925217bc19467e04d0201d88d45 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           8 | 876a7153adbc36a854339913186590042889537c |           9 | 6074ee40a7d2e925217bc19467e04d0201d88d45 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           9 | 6074ee40a7d2e925217bc19467e04d0201d88d45 |          10 | 9c8d9055e3d5858fe43f235ef361682468170c02 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           9 | 6074ee40a7d2e925217bc19467e04d0201d88d45 |          10 | 9c8d9055e3d5858fe43f235ef361682468170c02 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          10 | 9c8d9055e3d5858fe43f235ef361682468170c02 |          11 | 94edcdfdf8df7ff192d58be27c1d7401f9f686e0 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          10 | 9c8d9055e3d5858fe43f235ef361682468170c02 |          11 | 94edcdfdf8df7ff192d58be27c1d7401f9f686e0 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          11 | 94edcdfdf8df7ff192d58be27c1d7401f9f686e0 |          12 | dffc0632414eecd44ccab90ee9aa6672774cd026 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          11 | 94edcdfdf8df7ff192d58be27c1d7401f9f686e0 |          12 | dffc0632414eecd44ccab90ee9aa6672774cd026 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          12 | dffc0632414eecd44ccab90ee9aa6672774cd026 |          13 | 002a481e98ae80bba1c9af66abbc18ed20d66a86 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          12 | dffc0632414eecd44ccab90ee9aa6672774cd026 |          13 | 002a481e98ae80bba1c9af66abbc18ed20d66a86 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          13 | 002a481e98ae80bba1c9af66abbc18ed20d66a86 |          14 | 126a526767d191c46dcf70302a87d0f0250ae23b | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 9        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          13 | 002a481e98ae80bba1c9af66abbc18ed20d66a86 |          14 | 126a526767d191c46dcf70302a87d0f0250ae23b | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 9        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          14 | 126a526767d191c46dcf70302a87d0f0250ae23b |          15 | 624b76b16d64a60b1405d404bba8cae969c0d3ec | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 4        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          14 | 126a526767d191c46dcf70302a87d0f0250ae23b |          15 | 624b76b16d64a60b1405d404bba8cae969c0d3ec | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 4        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          15 | 624b76b16d64a60b1405d404bba8cae969c0d3ec |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          15 | 624b76b16d64a60b1405d404bba8cae969c0d3ec |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          16 | 8a4a853f5df5a52887cdddfbb2601c6f16411a4d |          17 | 5286bee5ab3d18cd55ca214e7c5dea2943f69127 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
